,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
244,N1NJA,RAF,"['omen', 'sova', 'jett']",273,0.86,167.4,0.75,64%,108.6,0.59,0.34,0.06,0.07,23%,10%
245,Terra,GNG,"['breach', 'fade', 'tejo']",282,0.86,179.5,0.86,69%,115.3,0.65,0.27,0.09,0.10,27%,7%
246,BNR,NZ,"['fade', 'harbor', 'sova']",667,0.86,174.2,0.82,63%,120.7,0.62,0.22,0.05,0.07,30%,9%
247,Al4n,UNT,"['brimstone', 'chamber', 'cypher']",321,0.86,186.8,0.82,59%,125.3,0.67,0.12,0.12,0.10,34%,16%
248,potato484,DRGN,"['viper', 'sova', 'cypher']",710,0.86,168.8,0.81,64%,113.9,0.61,0.24,0.05,0.07,27%,11%
249,Alone,5KSt,"['brimstone', 'omen', 'sage']",1052,0.85,169.0,0.75,64%,117.7,0.57,0.30,0.05,0.07,23%,11%
250,zodiac,NASR,"['omen', 'viper', 'brimstone']",1301,0.85,190.7,0.85,65%,125.5,0.65,0.26,0.10,0.12,31%,16%
251,D4nTe,425,"['jett', 'skye', 'cypher']",425,0.85,178.3,0.80,65%,113.4,0.64,0.15,0.12,0.15,16%,4%
252,SomebodyY,Mustang,"['jett', 'killjoy', 'skye']",285,0.85,172.2,0.71,67%,117.8,0.57,0.23,0.05,0.05,21%,10%
253,SalvoN,GNG,"['sova', 'brimstone', 'viper']",1441,0.85,177.6,0.81,66%,117.5,0.61,0.31,0.07,0.10,28%,14%
254,Jeje,Skyl,"['jett', 'raze', 'astra']",382,0.85,203.8,0.89,68%,135.6,0.70,0.22,0.12,0.17,27%,13%
255,iReLeX,OXR,"['sova', 'cypher', 'killjoy']",1270,0.85,173.3,0.81,64%,115.8,0.61,0.20,0.07,0.08,33%,13%
256,Madi,227,"['neon', 'raze', 'jett']",227,0.85,218.8,0.82,63%,146.8,0.73,0.21,0.14,0.20,27%,
257,iNaz,DRGN,"['killjoy', 'cypher', 'sage']",582,0.85,164.3,0.78,62%,114.7,0.58,0.19,0.07,0.08,23%,10%
258,mediKa,TWIS.O,"['brimstone', 'omen', 'astra']",735,0.84,153.1,0.74,71%,99.1,0.52,0.46,0.06,0.08,23%,11%
259,troublemaker,SKUL,"['sage', 'omen', 'chamber']",832,0.84,176.4,0.80,62%,118.0,0.61,0.25,0.07,0.11,26%,12%
260,Katsura,ALM,"['sova', 'omen', 'brimstone']",247,0.84,183.1,0.80,63%,118.6,0.63,0.21,0.07,0.14,26%,13%
261,Kero,TOPG,"['skye', 'kayo', 'reyna']",1523,0.84,169.4,0.76,66%,110.4,0.58,0.35,0.07,0.09,28%,10%
262,Yuna,GnG.W,"['gekko', 'fade', 'killjoy']",334,0.84,178.1,0.79,62%,120.8,0.62,0.25,0.12,0.15,21%,15%
263,MT,TOPG,"['raze', 'jett', 'skye']",227,0.84,184.0,0.76,63%,126.7,0.60,0.26,0.07,0.16,20%,14%
264,Dryson,(+3),"['jett', 'astra', 'viper']",692,0.84,184.6,0.82,67%,117.7,0.65,0.23,0.11,0.10,20%,8%
265,Krumszz,SCY,"['astra', 'killjoy', 'reyna']",548,0.84,175.5,0.78,62%,114.8,0.63,0.24,0.05,0.09,27%,4%
266,zizox,GMX,"['skye', 'killjoy', 'cypher']",1648,0.84,170.8,0.85,67%,111.1,0.60,0.21,0.06,0.09,19%,16%
267,zolters,LC,"['astra', 'viper', 'sova']",489,0.84,155.1,0.79,65%,103.6,0.56,0.26,0.04,0.09,18%,15%
268,KLR,XO,"['chamber', 'jett', 'raze']",564,0.84,187.4,0.84,62%,125.0,0.69,0.14,0.16,0.16,26%,13%
269,Kuro,RAF,"['sova', 'breach', 'tejo']",5408,0.84,172.7,0.80,67%,113.9,0.59,0.32,0.06,0.09,24%,13%
270,Grim,VEN,"['brimstone', 'omen', 'viper']",432,0.84,173.8,0.72,61%,119.7,0.57,0.35,0.06,0.10,32%,6%
271,yukina,XPER,"['killjoy', 'viper', 'cypher']",739,0.84,192.3,0.87,66%,133.7,0.67,0.19,0.13,0.15,23%,13%
272,Maha,XO.V,"['astra', 'sova']",214,0.84,148.5,0.75,62%,100.1,0.53,0.24,0.02,0.07,16%,18%
273,wicked,OPY,"['raze', 'jett']",328,0.84,209.5,0.86,60%,137.8,0.72,0.18,0.10,0.18,23%,10%
274,Syrup,GnG.W,"['sova', 'fade', 'jett']",270,0.83,175.9,0.73,62%,121.2,0.57,0.23,0.05,0.09,26%,5%
275,Magneto,BAAM,"['killjoy', 'sage', 'breach']",1124,0.83,173.9,0.78,65%,116.9,0.61,0.29,0.08,0.11,30%,17%
276,Lyhnj,MJY,"['omen', 'killjoy', 'sage']",786,0.83,158.9,0.78,65%,109.8,0.56,0.23,0.06,0.09,22%,14%
277,B4HA,YLA,"['astra', 'cypher', 'skye']",1189,0.83,181.3,0.81,63%,120.4,0.64,0.23,0.08,0.12,28%,11%
278,MenT,MLC,"['phoenix', 'reyna', 'raze']",581,0.83,177.3,0.79,66%,114.0,0.61,0.19,0.07,0.07,23%,6%
279,Frager,254,"['reyna', 'skye', 'kayo']",254,0.83,161.2,0.74,65%,110.3,0.57,0.24,0.06,0.07,27%,21%
280,NoXuS,xPro,"['jett', 'omen', 'brimstone']",545,0.83,173.5,0.80,61%,115.5,0.60,0.23,0.12,0.15,26%,19%
281,3moDJ,(+2),"['gekko', 'breach', 'astra']",415,0.83,171.7,0.74,68%,113.6,0.61,0.33,0.05,0.10,26%,12%
282,Nuttydem0n,(+2),"['sage', 'skye', 'breach']",228,0.83,171.6,0.72,61%,110.8,0.56,0.28,0.04,0.05,27%,9%
283,Peps,SCY,"['breach', 'kayo', 'omen']",851,0.83,177.0,0.78,63%,114.8,0.62,0.28,0.06,0.09,28%,12%
284,Just,Helping,"['brimstone', 'jett', 'skye']",368,0.83,184.0,0.76,62%,121.5,0.66,0.28,0.09,0.13,29%,7%
285,cactuzio,NASR,"['kayo', 'skye', 'sage']",1421,0.83,173.9,0.81,66%,114.0,0.61,0.28,0.06,0.10,27%,15%
286,Demha,LE,"['sova', 'omen']",239,0.82,177.4,0.77,65%,116.7,0.60,0.28,0.04,0.08,27%,13%
287,Fyco,MJY,"['cypher', 'killjoy', 'skye']",606,0.82,186.7,0.76,61%,123.1,0.63,0.26,0.08,0.11,27%,14%
288,Dane,TWIS,"['breach', 'sage', 'jett']",3358,0.82,182.3,0.80,67%,121.1,0.64,0.30,0.07,0.12,36%,15%
289,Zez0h,NBL,"['kayo', 'skye', 'breach']",428,0.82,179.3,0.69,61%,116.3,0.59,0.31,0.06,0.09,29%,13%
290,madcon,OXR,"['omen', 'breach', 'kayo']",1252,0.82,172.4,0.78,68%,113.2,0.60,0.30,0.07,0.10,29%,14%
291,neveR,NOVA,"['raze', 'jett', 'neon']",556,0.82,177.8,0.84,69%,118.3,0.63,0.13,0.14,0.18,25%,15%
292,Electus,GB,"['sova', 'tejo', 'skye']",1390,0.82,163.3,0.74,68%,108.5,0.56,0.33,0.06,0.08,29%,12%
293,morE,214,"['sage', 'killjoy', 'cypher']",214,0.82,168.0,0.79,62%,114.4,0.57,0.23,0.08,0.09,24%,8%
294,silvver,(+1),"['cypher', 'killjoy', 'sage']",488,0.82,174.8,0.81,67%,112.5,0.60,0.20,0.07,0.09,21%,11%
295,악당,호,"['raze', 'jett', 'astra']",264,0.81,172.9,0.74,64%,114.9,0.60,0.25,0.06,0.13,27%,11%
296,Rayy,DRGN,"['chamber', 'killjoy', 'fade']",1204,0.81,161.9,0.71,64%,110.9,0.55,0.26,0.06,0.08,25%,12%
297,Naf,GMX.L,"['raze', 'sova', 'gekko']",409,0.81,178.3,0.76,67%,124.0,0.59,0.22,0.09,0.11,23%,4%
298,KirOW,ANB,"['cypher', 'killjoy', 'chamber']",317,0.80,171.3,0.79,65%,115.6,0.60,0.22,0.07,0.12,25%,15%
299,West,SCY,"['jett', 'cypher', 'skye']",856,0.80,168.3,0.75,62%,112.0,0.57,0.23,0.07,0.11,24%,12%
300,shooterR,PHX,"['raze', 'jett', 'sage']",411,0.80,178.2,0.78,65%,120.5,0.60,0.21,0.14,0.17,29%,8%
301,Yami,(+8),"['jett', 'raze', 'reyna']",423,0.80,189.0,0.75,62%,121.8,0.63,0.16,0.11,0.12,20%,6%
302,Sye,GnG.W,"['fade', 'killjoy', 'sage']",733,0.79,162.4,0.74,67%,105.3,0.54,0.29,0.05,0.08,14%,13%
