key ,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
1524,hibar,HLT,"{'omen', 'gekko', 'brimstone'}",582,1.04,190.0,1.00,73,122.0,0.68,0.40,0.04,0.06,29,19
1525,Leyre,TU.O,"{'gekko', 'omen', 'astra'}",832,1.04,208.2,1.01,73,136.2,0.73,0.39,0.08,0.08,35,8
1526,adora,HERO,"{'raze', 'jett', 'viper'}",2810,1.04,231.1,1.07,68,151.8,0.81,0.17,0.17,0.17,30,11
1527,Kamisseq,NOVO,"{'cypher', 'killjoy', 'sage'}",3065,1.04,207.9,1.03,71,136.7,0.73,0.28,0.10,0.09,30,12
1528,dos9,BME,"{'raze', 'sage', 'viper'}",229,1.04,188.8,1.03,74,129.9,0.68,0.28,0.07,0.08,25,24
1529,MaikoRioo,TOG,"{'skye', 'raze', 'kayo'}",235,1.04,219.3,1.01,69,142.8,0.74,0.37,0.11,0.11,20,16
1530,Krizz,NOVO,"{'raze', 'jett', 'yoru'}",1627,1.04,207.3,1.06,71,138.8,0.73,0.18,0.10,0.09,25,13
1531,UNFAKE,VIT,"{'sova', 'killjoy', 'cypher'}",4595,1.04,205.9,1.03,72,137.5,0.72,0.28,0.09,0.07,30,14
1532,Anq,VLNT,"{'omen', 'cypher', 'raze'}",2042,1.04,214.1,1.05,68,136.1,0.75,0.20,0.14,0.14,27,17
1533,Zino,ARZ,"{'jett', 'raze', 'chamber'}",1213,1.04,207.6,1.09,69,132.5,0.76,0.13,0.16,0.13,27,10
1534,WerlasS,GS,"{'jett', 'viper', 'kayo'}",2455,1.04,196.8,1.02,72,129.9,0.69,0.34,0.07,0.07,29,15
1535,sorriso,Lank,"{'sage', 'omen', 'viper'}",787,1.04,193.5,0.99,66,126.7,0.69,0.21,0.07,0.07,29,16
1536,wackie,VLNT,"{'jett', 'kayo', 'raze'}",3787,1.04,212.4,1.07,71,137.6,0.74,0.24,0.12,0.12,25,13
1537,xms,DVM,"{'omen', 'sage', 'brimstone'}",2364,1.04,197.7,1.06,72,131.0,0.72,0.22,0.08,0.08,30,14
1538,Koyorii,Kaiz,"{'killjoy', 'omen'}",442,1.04,187.4,0.99,76,123.3,0.69,0.41,0.08,0.06,25,18
1539,Luca,TSE,"{'kayo', 'viper', 'chamber'}",1105,1.04,203.0,1.02,69,137.5,0.72,0.22,0.09,0.07,25,20
1540,Petra,G2.G,"{'sova', 'astra', 'skye'}",5759,1.04,205.8,1.07,74,135.4,0.72,0.31,0.09,0.10,25,18
1541,xeus,EF,"{'jett', 'reyna', 'sage'}",2792,1.04,236.3,1.10,68,153.7,0.84,0.18,0.18,0.18,32,15
1542,draken,GLD,"{'sova', 'omen', 'viper'}",2182,1.04,203.6,1.06,73,129.3,0.71,0.25,0.10,0.09,25,14
1543,raxtazzz,FXL,"{'jett', 'raze', 'omen'}",564,1.04,221.0,1.02,69,138.1,0.77,0.17,0.16,0.15,21,12
1544,piano,(+6),"{'skye', 'killjoy', 'kayo'}",464,1.04,185.1,0.97,74,120.5,0.66,0.43,0.05,0.07,25,25
