,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
701,Clory,PCF,"['brimstone', 'sova', 'astra']",293,0.97,180.5,0.88,69%,125.7,0.65,0.32,0.08,0.07,30%,12%
702,LewN,BBL,"['raze', 'jett', 'gekko']",2985,0.97,214.8,1.01,66%,141.7,0.76,0.17,0.18,0.18,31%,18%
703,Duno,TWIS,"['sova', 'skye', 'sage']",3586,0.97,173.4,0.93,73%,113.0,0.60,0.34,0.05,0.06,22%,14%
704,canefis,TOG,"['omen', 'astra', 'sage']",2153,0.97,189.4,0.94,67%,127.9,0.67,0.21,0.07,0.08,31%,17%
705,Jiex,KC.GC,"['jett', 'raze', 'breach']",4179,0.97,196.5,0.95,72%,128.9,0.69,0.34,0.09,0.09,30%,16%
706,Magnus,RV,"['jett', 'reyna', 'raze']",1628,0.97,212.0,0.97,67%,140.1,0.74,0.16,0.16,0.14,27%,7%
707,roodya,328,"['raze', 'jett']",328,0.97,224.6,0.93,66%,153.4,0.75,0.22,0.15,0.16,20%,12%
708,Patrui,S2G,"['killjoy', 'viper', 'cypher']",1029,0.97,194.3,0.93,70%,126.8,0.67,0.30,0.07,0.09,25%,14%
709,Muj,S2G,"['sova', 'jett', 'sage']",2967,0.97,201.0,0.99,71%,131.9,0.70,0.24,0.12,0.11,26%,13%
710,FacePalm,SZK,"['jett', 'chamber', 'neon']",281,0.97,215.3,0.99,68%,136.6,0.76,0.14,0.20,0.19,34%,8%
711,minse,OBG,"['cypher', 'sage', 'killjoy']",3042,0.97,201.9,1.08,69%,132.5,0.71,0.20,0.08,0.08,22%,13%
712,Rouss,SIKO,"['omen', 'viper', 'gekko']",939,0.97,201.5,1.00,67%,130.3,0.73,0.21,0.09,0.10,36%,21%
713,Caim,GTZ,"['jett', 'raze', 'cypher']",546,0.97,217.4,0.94,69%,140.3,0.73,0.21,0.18,0.18,19%,13%
714,BaWaN,3D,"['sage', 'sova', 'killjoy']",1228,0.97,201.3,0.95,68%,133.3,0.69,0.22,0.09,0.08,24%,11%
715,fxy0,OG,"['jett', 'kayo', 'raze']",993,0.97,209.0,1.06,70%,130.9,0.73,0.18,0.16,0.15,23%,15%
716,Carcass,G2.G,"['brimstone', 'jett', 'omen']",2101,0.97,208.5,0.99,69%,130.0,0.72,0.18,0.15,0.12,18%,12%
717,Desi,FKS.S,"['sage', 'skye', 'sova']",1444,0.97,193.9,0.93,70%,127.4,0.68,0.32,0.07,0.07,26%,17%
