,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
151,mehzy,MORB,"['jett', 'raze', 'viper']",2057,1.06,236.6,1.07,71%,152.0,0.82,0.22,0.16,0.14,22%,12%
152,Meeeeester,Juan,"['omen', 'sova', 'skye']",973,1.06,228.0,1.01,72%,147.6,0.78,0.32,0.11,0.12,26%,13%
153,Dragonlmao,344,"['clove', 'jett', 'phoenix']",344,1.06,242.3,1.06,70%,153.8,0.85,0.26,0.15,0.12,38%,15%
154,ShahZaM,MIBR,"['sova', 'breach', 'jett']",7411,1.06,206.6,1.09,73%,131.2,0.73,0.27,0.10,0.08,23%,15%
155,jowa,SAD,"['chamber', 'raze', 'sova']",7025,1.05,206.4,1.03,74%,134.8,0.72,0.36,0.10,0.10,28%,15%
156,pwny,OXG,"['raze', 'reyna', 'jett']",3343,1.05,221.8,1.10,71%,139.5,0.79,0.18,0.16,0.13,24%,15%
157,flowerful,LIL,"['killjoy', 'sage', 'viper']",5755,1.05,205.1,1.08,71%,137.0,0.73,0.16,0.09,0.08,23%,14%
158,Kolby,FAWZ,"['omen', 'deadlock', 'viper']",239,1.05,222.0,1.09,70%,146.2,0.79,0.30,0.12,0.10,27%,
159,Derrek,EG,"['sova', 'breach', 'cypher']",6936,1.05,195.8,1.01,73%,131.5,0.68,0.31,0.07,0.06,30%,13%
160,colby,BLUE,"['viper', 'skye', 'sova']",800,1.05,205.2,1.07,69%,132.4,0.75,0.28,0.10,0.10,22%,13%
161,ennui,(+2),"['raze', 'jett', 'reyna']",700,1.05,240.4,1.06,69%,158.1,0.83,0.19,0.21,0.17,28%,22%
162,karie,KB,"['chamber', 'jett', 'neon']",2766,1.05,215.0,1.08,71%,143.6,0.77,0.19,0.08,0.08,26%,14%
163,Cain,L11,"['sova', 'phoenix', 'breach']",5076,1.05,202.1,1.01,74%,130.4,0.71,0.39,0.09,0.08,21%,17%
164,jmoh,LMND,"['jett', 'phoenix', 'raze']",5182,1.05,207.5,1.04,71%,130.5,0.73,0.20,0.13,0.11,16%,16%
165,BayPopper,(+3),"['fade', 'skye', 'jett']",485,1.05,232.7,1.05,72%,148.5,0.80,0.18,0.14,0.10,27%,13%
166,SwayZ,MU,"['omen', 'reyna', 'cypher']",3308,1.05,211.6,1.08,69%,140.2,0.77,0.15,0.13,0.12,28%,12%
167,unstable,FLY,"['jett', 'raze', 'skye']",4610,1.05,218.9,1.09,71%,141.4,0.78,0.23,0.15,0.13,29%,15%
168,Vedi,BPX,"['iso', 'sova', 'jett']",520,1.05,223.2,1.08,73%,147.6,0.79,0.16,0.12,0.11,29%,16%
169,BearZ,Team,"['sova', 'breach', 'raze']",2058,1.05,205.5,0.95,71%,137.5,0.70,0.30,0.08,0.07,21%,12%
170,Zellsis,SEN,"['breach', 'reyna', 'killjoy']",9550,1.05,205.5,1.06,73%,132.9,0.71,0.36,0.09,0.10,20%,15%
171,YAMS,(+2),"['breach', 'kayo', 'skye']",732,1.05,193.2,1.01,73%,125.9,0.68,0.40,0.05,0.07,23%,24%
172,Will,YFP,"['reyna', 'raze', 'phoenix']",7262,1.05,220.7,1.08,71%,140.8,0.77,0.25,0.12,0.11,17%,15%
173,benas,(+1),"['chamber', 'viper', 'killjoy']",334,1.05,219.3,1.07,68%,142.9,0.79,0.13,0.11,0.13,35%,11%
174,YaBoiDre,NYFU,"['sage', 'phoenix', 'raze']",5010,1.05,219.3,1.05,71%,142.4,0.78,0.20,0.11,0.11,27%,12%
175,Dcop,FSN,"['phoenix', 'omen', 'breach']",3510,1.05,216.0,0.99,72%,139.7,0.71,0.37,0.11,0.11,17%,16%
176,SUPERBRON,SEN,"['yoru', 'jett', 'phoenix']",201,1.05,220.0,1.09,72%,138.6,0.77,0.26,0.12,0.10,23%,16%
177,gMd,TSM,"['raze', 'reyna', 'skye']",7972,1.05,204.3,1.04,74%,132.3,0.72,0.38,0.08,0.08,29%,16%
178,renz,MU,"['sova', 'raze', 'jett']",11755,1.05,207.8,1.05,72%,137.2,0.73,0.28,0.10,0.09,26%,13%
179,Sato,LEV,"['raze', 'neon', 'jett']",1542,1.05,235.0,1.11,70%,152.7,0.83,0.18,0.19,0.18,30%,19%
180,WhoFramedMe,(+1),"['sova', 'jett', 'omen']",267,1.05,199.8,1.09,69%,132.5,0.74,0.20,0.06,0.07,27%,8%
