,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
133,delz1k,9ZG,"['omen', 'brimstone']",617,,239.0,1.07,,151.5,0.82,0.29,0.13,0.10,21%,14%
134,wait,KRÜ,"['phoenix', 'cypher', 'sova']",415,,228.9,0.99,,150.6,0.72,0.41,0.07,0.07,18%,18%
135,gessito,KLG,"['cypher', 'breach', 'raze']",617,,182.6,0.88,,117.4,0.63,0.36,0.07,0.11,17%,19%
136,titooh,UC,"['phoenix', 'brimstone', 'breach']",220,,162.0,0.73,,114.8,0.56,0.30,0.05,0.12,17%,22%
137,ermaak,PHR,"['cypher', 'sova']",203,,189.0,0.78,,126.4,0.65,0.21,0.08,0.06,26%,17%
138,olzerr,ZEN,"['omen', 'sova', 'cypher']",639,,170.6,0.83,,105.4,0.60,0.28,0.07,0.12,25%,14%
139,AimGreen,FLA,"['sage', 'breach', 'cypher']",251,,175.2,0.82,,118.9,0.61,0.24,0.07,0.11,24%,7%
140,pava,OSKA,"['raze', 'omen', 'phoenix']",341,,158.9,0.68,,98.3,0.51,0.24,0.08,0.11,16%,8%
141,AztKk,19,"['reyna', 'raze', 'phoenix']",358,,254.7,1.04,,155.7,0.83,0.28,0.18,0.15,18%,11%
142,TwoPotz,ANT.GC,"['jett', 'raze', 'phoenix']",514,,215.5,1.03,,128.9,0.76,0.18,0.13,0.11,21%,10%
143,PxL,ATHZ,"['phoenix', 'breach', 'omen']",270,,189.2,0.83,,122.4,0.64,0.30,0.10,0.13,21%,9%
144,WOLFZ,KS,"['cypher', 'sova', 'omen']",326,,168.0,0.82,,110.4,0.57,0.26,0.06,0.09,20%,7%
145,pepa,TDA,"['raze', 'omen']",444,,202.1,0.97,,131.5,0.70,0.27,0.09,0.09,22%,25%
146,prozin,RED,"['cypher', 'killjoy', 'raze']",749,,199.2,0.92,,124.5,0.67,0.24,0.11,0.15,16%,13%
147,Masu,RED,"['sage', 'breach']",444,,156.8,0.79,,104.7,0.55,0.36,0.04,0.07,20%,9%
148,WKN,CUBE,"['omen', 'brimstone', 'viper']",540,,154.8,0.79,,99.1,0.55,0.25,0.05,0.10,16%,12%
149,Evilkyk,GLRS,"['sova', 'killjoy', 'reyna']",1013,,205.7,0.97,,134.0,0.71,0.27,0.08,0.09,23%,16%
150,francez,UNP,"['omen', 'sova']",392,,177.8,0.82,,119.7,0.64,0.25,0.07,0.11,25%,10%
151,Veroneze,AJF,['reyna'],368,,207.4,1.10,,127.6,0.78,0.14,0.14,0.11,28%,21%
152,REPOW,NO2,"['sova', 'breach', 'omen']",316,,176.0,0.76,,116.8,0.57,0.35,0.06,0.09,20%,14%
153,FLG1,END,"['cypher', 'sova']",548,,171.2,0.81,,111.7,0.60,0.19,0.05,0.09,30%,20%
154,patochovsk,ING,"['brimstone', 'omen', 'raze']",371,,220.0,1.09,,139.9,0.74,0.19,0.09,0.11,17%,6%
155,Tecnosh,371,"['jett', 'killjoy']",371,,184.2,0.87,,117.6,0.64,0.13,0.15,0.20,17%,11%
156,GTFAFMX,371,"['raze', 'reyna', 'breach']",371,,171.9,0.91,,111.0,0.58,0.33,0.03,0.07,19%,9%
157,NANZIN,SH,"['sage', 'sova', 'omen']",371,,201.6,0.98,,136.3,0.68,0.23,0.09,0.10,32%,17%
158,GWASA,SKC,"['brimstone', 'omen']",249,,166.6,0.72,,108.6,0.59,0.21,0.06,0.13,15%,14%
