,player,org,agents,rounds_played,rating,average_combat_score,kill_deaths,kill_assists_survived_traded,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
123,nekopanchi,RIG.L,"['omen', 'astra', 'viper']",468,0.94,182.5,0.87,69%,123.5,0.63,0.36,0.07,0.07,32%,14%
124,marin,RRX,"['sage', 'raze', 'breach']",2012,0.94,197.8,0.95,67%,130.3,0.69,0.21,0.11,0.13,23%,14%
125,KuuKai,DLTT.GC,"['cypher', 'chamber', 'sage']",625,0.94,182.9,0.94,67%,123.5,0.68,0.16,0.09,0.10,27%,14%
126,Hate,RC,"['viper', 'cypher', 'killjoy']",803,0.94,183.1,0.88,66%,125.5,0.64,0.23,0.07,0.10,31%,13%
127,Hands,BCS,"['sova', 'breach', 'viper']",966,0.93,174.8,0.86,72%,120.7,0.61,0.25,0.06,0.06,30%,14%
128,SylFy,NFX,"['cypher', 'omen', 'brimstone']",1208,0.93,183.2,0.92,68%,119.3,0.64,0.24,0.06,0.08,21%,14%
129,TENNN,MRSH,"['raze', 'reyna', 'breach']",4014,0.93,201.1,0.93,69%,132.7,0.69,0.24,0.12,0.13,26%,15%
130,Reita,MRSH,"['raze', 'sova', 'skye']",4058,0.93,201.8,0.97,69%,130.5,0.70,0.24,0.11,0.11,24%,13%
131,zepher,SZ,"['sage', 'reyna', 'jett']",2488,0.93,200.2,0.95,66%,128.8,0.69,0.19,0.13,0.13,22%,15%
132,rez1v,NVG,"['breach', 'sage', 'raze']",651,0.93,178.9,0.88,69%,122.9,0.62,0.29,0.06,0.09,26%,13%
133,Paint,EVA,"['sova', 'breach', 'viper']",521,0.93,178.5,0.86,72%,116.9,0.62,0.38,0.06,0.09,28%,13%
134,Fisker,NFX,"['jett', 'sova', 'sage']",2714,0.93,223.1,0.97,67%,139.1,0.76,0.20,0.20,0.19,25%,17%
135,meimei,DFM.GC,"['sova', 'killjoy', 'astra']",312,0.93,181.6,0.89,68%,119.0,0.64,0.22,0.07,0.08,21%,2%
136,R4M,DRX.CH,"['astra', 'viper', 'neon']",996,0.92,186.6,0.85,69%,120.7,0.64,0.40,0.07,0.10,21%,15%
137,Anker,JDT,"['cypher', 'sova', 'skye']",393,0.92,191.5,0.89,70%,124.4,0.66,0.23,0.07,0.07,29%,8%
138,g4ll,DLT,"['raze', 'killjoy', 'fade']",626,0.92,187.3,0.90,68%,126.7,0.65,0.25,0.08,0.10,21%,12%
139,aco,ZETA.GC,"['skye', 'sova', 'gekko']",1393,0.92,177.3,0.87,73%,114.4,0.61,0.45,0.07,0.09,21%,12%
140,makiba,CR,"['omen', 'viper', 'brimstone']",1583,0.92,173.9,0.89,73%,113.2,0.60,0.38,0.06,0.08,25%,15%
141,Dia,MTR,"['raze', 'waylay', 'jett']",622,0.92,213.9,0.94,66%,138.1,0.74,0.19,0.18,0.19,30%,10%
142,Phantom,FAV,"['cypher', 'jett', 'skye']",1989,0.92,181.4,0.88,68%,119.5,0.64,0.25,0.06,0.08,20%,12%
